Date,Content
2021-04-08 4:37,"Miner payment: 0.2192 ETH (987 GWEI @ 222,004 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xd7b03b253d57ccee9c1302bf3ffa3e9c4935d0aae7fc6508843fd024ffce018a
Miner: SpiderPool"
2021-04-08 4:37,"Miner payment: 0.0383 ETH (108 GWEI @ 352,660 gas [1])
0x7ee8..23CE
https://etherscan.io/tx/0x4efec1717c739fd0271751d32d5e2f4219624b390ea8455ed1763b7776490873
Miner: Sparkpool"
2021-04-08 4:37,"Miner payment: 0.0205 ETH (103 GWEI @ 198,120 gas [2])
0x2222..2222
https://etherscan.io/tx/0x175ccf72924b94f7b5c02b9b3f663716ab496622667d855d79ed18ddcde54958
Miner: BeePool"
2021-04-08 4:38,"Miner payment: 0.1271 ETH (432 GWEI @ 293,851 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x965443ad2db6d8819bce76d205eb79701109f48a105ffbf43991acdd78ca261c
Miner: 0xB3b7874F13387D44a3398D298B075B7A3505D8d4"
2021-04-08 4:38,"Miner payment: 0.0376 ETH (106 GWEI @ 354,805 gas [3])
0x83bc..62a6
https://etherscan.io/tx/0x29c7beaf3b4933aa07755f3f9472a244c4e08733b9e24442986659d8f043d223
Miner: Sparkpool"
2021-04-08 4:39,"Miner payment: 0.3453 ETH (1,001 GWEI @ 344,737 gas [3])
0x83bc..62a6
https://etherscan.io/tx/0x9171d24842072ec407e7d3bc24d907ae9f9e231501b051af72db1e0f7ce480b0
Miner: Sparkpool"
2021-04-08 4:40,"Miner payment: 0.0628 ETH (230 GWEI @ 272,056 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0xff51fb488506fe0c6d028abe57977187f17fd0ff4a483a63eb587cbb37b2a789
Miner: f2pool"
2021-04-08 4:41,"Miner payment: 0.0916 ETH (283 GWEI @ 322,922 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xfad31d4d48a133b014ddc3ad35186f5a4d9db2ec43c8b26def3b33cf73433a45
Miner: Sparkpool"
2021-04-08 4:42,"Miner payment: 0.058 ETH (142 GWEI @ 407,959 gas [3])
0x0000..bf8c
https://etherscan.io/tx/0x978d1381c70c00adb8092be18b7cd0c665103e26801baedbd38a67bc530da756
Miner: UUPool"
2021-04-08 4:42,"Miner payment: 0.1212 ETH (442 GWEI @ 273,798 gas [3])
0x2222..2222
https://etherscan.io/tx/0x6afb91ff8a3baf132a63066565654a1483deb942aacd153251737edb060cc9f5
Miner: Sparkpool"
2021-04-08 4:43,"Miner payment: 0.0829 ETH (208 GWEI @ 397,727 gas [3])
0xFA2e..0459
https://etherscan.io/tx/0xb0cebe17559558f26e84eb51d02d6af319b23c6e669c73f7647fd8a18be60a78
Miner: BeePool"
2021-04-08 4:44,"Miner payment: 0.0705 ETH (254 GWEI @ 277,754 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x9e91ada0553c5250bef2377491191fe72b7ef2500421ce446290a630f2c94733
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:44,"Miner payment: 0.1522 ETH (659 GWEI @ 230,759 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x6fde0a669c0ae9703f3b3a701af09ccbf9b6e2b8602643f1edfde8d2a12b1aa9
Miner: 0xB3b7874F13387D44a3398D298B075B7A3505D8d4"
2021-04-08 4:44,"Miner payment: 0.1199 ETH (439 GWEI @ 272,631 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xa68384e4a70788252e961c571529b2fdbe42948c974c6cfbf5ae72143b2bc89c
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
2021-04-08 4:45,"Miner payment: 0.036 ETH (213 GWEI @ 168,997 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0x0b6929b98ba5b60604e1fae856ba4b5f2ccba16706e613a3a8b986a64af459ad
Miner: Sparkpool"
2021-04-08 4:46,"Miner payment: 0.275 ETH (518 GWEI @ 530,048 gas [1])
0x3e4D..53bc
https://etherscan.io/tx/0xc77eeb6d12d1b7b00270f6ff5062bbb73e5fa571a8d214b07f75e2bfd74ede15
Miner: Sparkpool"
2021-04-08 4:47,"Miner payment: 0.3226 ETH (1,049 GWEI @ 307,270 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x01be74efdcbcf3ca9ac90def7b918ce33c83f4c88c22358819ed8a8e9ab83b04
Miner: SpiderPool"
2021-04-08 4:47,"Miner payment: 0.1341 ETH (381 GWEI @ 351,605 gas [3])
0x83bc..62a6
https://etherscan.io/tx/0xdcfebebeb974b9a843b56f1d53c6750e014d8b5bd1eb6016accbb3c65c12669d
Miner: Sparkpool"
2021-04-08 4:49,"Miner payment: 0.1656 ETH (555 GWEI @ 298,061 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x388b28ea6cf157ecbbfad8769fc8e9ab8579827a5eab7ef29920f1d21ffb887d
Miner: Sparkpool"
2021-04-08 4:49,"Miner payment: 0.0955 ETH (389 GWEI @ 245,347 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0x04b9ed38e3d79934b219df240f76bcaf22778a2a2f2871e71da8b1f64ee80681
Miner: f2pool"
2021-04-08 4:49,"Miner payment: 0.0441 ETH (143 GWEI @ 307,334 gas [3])
0x3C65..8d3A
https://etherscan.io/tx/0x32fd1740cadfb9dca872ccded33ff047ba6cb8cf90087a731ab0847c29d89ef6
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:51,"Miner payment: 0.1646 ETH (350 GWEI @ 469,662 gas [3])
0x4787..6cFB
https://etherscan.io/tx/0x84335d8ad81c84054646dac655e6e75d4428ee3a496da5752d43e9d7c4401df1
Miner: BeePool"
2021-04-08 4:51,"Miner payment: 0.0975 ETH (297 GWEI @ 327,332 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x6680bf06cd48d242b060f8f3a3670bd0e3214650cad8ff9f645c3e090b99af1a
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:51,"Miner payment: 0.3076 ETH (1,293 GWEI @ 237,941 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x5d6cac9352cc221a4e496f17574b9ab274e5e70394df7b498c3e0cec54dcb7d0
Miner: BeePool"
2021-04-08 4:53,"Miner payment: 0.0205 ETH (127 GWEI @ 161,812 gas [2])
0x2222..2222
https://etherscan.io/tx/0xfd7e5471d479132a3f6bb7b90adacbe00a51b5131e7f31942d6a89ded2abc6d3
Miner: BeePool"
2021-04-08 4:53,"Miner payment: 0.0451 ETH (198 GWEI @ 227,306 gas [3])
0x2222..2222
https://etherscan.io/tx/0xe1d7f95918ff20b7c826b33f15e2329b456e97641ff5cfad759e237573fb174e
Miner: Sparkpool"
2021-04-08 4:55,"Miner payment: 0.5428 ETH (2,122 GWEI @ 255,750 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xbf532a91b70489fff9e586f6279aca5c859aea779efcad8c84a7813c06d4790e
Miner: Sparkpool"
2021-04-08 4:55,"Miner payment: 0.1865 ETH (713 GWEI @ 261,620 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xcab26f152daf00f908de85149afb2ce2e12bde6ce9c5a22c5bf1a51a2c796086
Miner: Sparkpool"
2021-04-08 4:55,"Miner payment: 0.1293 ETH (429 GWEI @ 301,488 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x694b7e113f37b29d21bc347f899a7f1627f39ad3ff3de6047838d7ef72580287
Miner: BeePool"
2021-04-08 4:55,"Miner payment: 0.0833 ETH (308 GWEI @ 270,043 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xf39dcf4f56ab0e7f5d9c693bf4c83331dcdc9ec8750828e03a91e656f6f80286
Miner: f2pool"
2021-04-08 4:56,"Miner payment: 0.0489 ETH (134 GWEI @ 364,942 gas [3])
0xF5c6..90a3
https://etherscan.io/tx/0xd375bdefb25327698c70ccae2b94ff39162a7336196605d42fa0fd8258671dad
Miner: UUPool"
2021-04-08 4:56,"Miner payment: 0.0151 ETH (35 GWEI @ 424,325 gas [3])
0xc840..0343
https://etherscan.io/tx/0x20132e987dbd25f5c91ded62c229c14a65b0bcb557c43d2c99a25e69d32a8c9c
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
